Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Play Store,https://play.google.com/store/apps/details?id=com.autismassisted&c=apps&hl=pt_BR,Autism Assisted,7 de fev. de 2020,Gratuito,,autism' 'intervention',Livre,"O Autism Assisted é desenvolvido pelo Laboratório de Interação Humano-Computador e Experiência Social da Universidade de Ciências da Administração de Lahore. Temos o compromisso de criar um meio para fornecer informações importantes, relevantes e confiáveis ​​para as pessoas afetadas por TEA. Nossa visão para o Autism Assisted vê o seguinte

Banco de conhecimento seguro e confiável:

O TEA, especialmente nos países do terceiro mundo, é pouco compreendido e uma base de conhecimento deve ser criada com as melhores informações disponíveis do trabalho realizado em todo o mundo. Também é importante que esse conhecimento seja acessível ao maior grupo possível. Fazemos isso criando informações com várias dimensões, como suporte na Web, dispositivos móveis, impressão, vídeo, idiomas e acessibilidade, para garantir a remoção do maior número possível de barreiras a esse conhecimento. As informações também são verificadas por profissionais médicos com certificação que fornece informações e análises importantes.

Fonte de esperança e união:

O ASD é uma coisa difícil de passar para indivíduos, cuidadores e familiares. É uma jornada difícil que acreditamos requer apoio constante de indivíduos que passam pelas mesmas lutas. Esse senso de comunidade que gira em torno da esperança é fundamental para criar fortes círculos de apoio em torno do ASD. ""Heróis do autismo"" são pais, indivíduos autistas, cuidadores, médicos e educadores cujas histórias acreditamos que precisam ser compartilhadas para criar uma perspectiva mais positiva e esperançosa durante a jornada da ASD.

Uma plataforma para o futuro:

O Autism Assisted é uma fonte de informação, comunidade e recursos que precisam expandir, atualizar e ser continuamente revisados. À medida que o tempo passa, planejamos continuar adicionando mais ao Autism Assisted e, esperançosamente, contribuir mais para fornecer suporte a indivíduos afetados não apenas pelo TEA, mas também por outros distúrbios.",0
Play Store,https://play.google.com/store/apps/details?id=com.getgoally.learnerapp&c=apps&hl=pt_BR,Goally: Apps for Autism & ADHD,7 de abr. de 2023,Gratuito,,autism' 'intervention',Livre,"Pense no Goaly como a caixa de ferramentas completa de desenvolvimento de habilidades para crianças. Um download do Goaly dá acesso a mais de 13 aplicativos de terapia inovadores, incluindo jogos educativos, AAC e aulas de aprendizado de idiomas, atividades de autocuidado e atenção plena e vídeos de habilidades sociais e de higiene para crianças. Embora o Goaly seja perfeito para crianças neurodivergentes com diferenças de aprendizado ou necessidades especiais, ajudamos QUALQUER criança que esteja procurando uma vantagem inicial.

APENAS LANÇADO! Mais de 100 vídeos de higiene, segurança, autocuidado e outros vídeos de aprendizado de habilidades para crianças em nossa nova atualização de conteúdo. Cada videoaula é interativa e gamificada, o que torna o desenvolvimento de habilidades uma explosão! Com o novo conteúdo de vídeo do Goaly, seu filho pode aprender habilidades como:

- Como fazer amigos

- Como escovar os dentes

- Como se comunicar

- Como se autorregular

... e muito mais!

Construtor de cronograma visual:

O Goaly permite que você crie cronogramas visuais personalizados (como primeiro e depois os quadros) sob medida para o seu filho. Isso mesmo; você carrega SEUS PRÓPRIOS vídeos, dicas de áudio, cronômetros visuais e muito mais. Fale sobre consistência!

Recompensas e Tabuleiro de Tokens:

Motive seu filho com uma economia integrada de token board. Depois de concluir uma tarefa, eles podem obter pontos para as recompensas que você definir!

AAC e jogos de linguagem:

Nosso AAC é simples e fácil de usar. Crie palavras e pastas personalizadas no Goaly's Talker para ajudar crianças com atraso na fala a aprender o idioma rapidamente. Goally ensina crianças AAC com prática interativa e exemplos de vídeo reais.

Aplicativo pai complementar:

Sincronize com o aplicativo pai para controlar e personalizar a partir do SEU telefone. Os jogos não estão funcionando para sua família agora? Esconda-os! Convide terapeutas, professores ou vovó e vovô para colaborar GRATUITAMENTE.

Ao baixar o Goaly, você obtém:

- Construtor de cronograma visual (mais de 100 modelos)

- Temporizadores visuais, listas de verificação e lembretes

- Locutor AAC 100% personalizável

- Mais de 50 módulos de aprendizado de idiomas

- Jogos de destreza e habilidades motoras finas

- Recompensas personalizadas e placas de token

- Vídeos de meditação e mindfulness para crianças

- Aulas de treinamento de comportamento e habilidades sociais

- Exercícios de autocontrole e regulação emocional

- Previsão do tempo diária com sugestão de roupa

- Aplicativo Kids ID e outros recursos de segurança

- Jogos divertidos de desenho e inquietação para crianças

Por que Gol?

-Aprender é DIVERTIDO para as crianças. Rotinas semelhantes a jogos e personagens interativos ajudam as crianças a aprender. Além disso, a ciência funciona! Goally implementa estratégias de terapia comprovadas e a ciência da modelagem de vídeo para ajudar as crianças a desenvolver habilidades.

Não aceite nossa palavra; aqui está o que outros pais estão dizendo sobre Goaly:

 

""Nosso filho usa seu Goaly para simplificar e tirar a preocupação de suas rotinas matinais e de dormir. Ele sabe o que vem a seguir! Observá-lo florescer de forma independente por causa disso tem sido incrível."" -Kate Swenson (@findingcoopersvoice)

""Nosso Goaly tem sido incrível por ajudar meu filho nas transições. Sair de casa é muito mais fácil agora usando sua rotina 'Go Bye Bye' e ele adora ouvir minha voz recitando os passos para ele."" -Paige Washinksi (@paigewash)

“[Meu filho] é obcecado por isso!!! Já ajudou tremendamente a rotina matinal. Ele está se levantando sem mim quando o goleiro dispara e está muito ansioso para fazer tudo no tempo previsto. Durante toda a semana, saímos para a escola no momento perfeito. Ele até nos disse ontem à noite que adora! -Jen (mãe goleira)

Perguntas ou comentários? Contate-nos em familysupport@goally.co.

Política de Privacidade: https://getgoally.com/privacy-policy/

Termos de Serviço: https://getgoally.com/terms-of-service/",0
Play Store,https://play.google.com/store/apps/details?id=com.otsimo.speech&c=apps&hl=pt_BR,Otsimo | Speech Therapy SLP,30 de mar. de 2023,Gratuito,,autism' 'intervention',Livre,"Otsimo | O Speech Therapy Pronunciation Articulation tem orgulho de ser o único aplicativo de fonoaudiologia que usa tecnologia de reconhecimento de voz e fala e aprendizado de máquina; ele entende exatamente o que você está tentando dizer!

Para aqueles que têm problemas relacionados à fala, como:

- Fala atrasada (faladores atrasados),

- Autismo não-verbal e síndrome de down que afetam a fala,

- Dificuldade de se articular e enunciar,

- Apraxia,

-Afasia,

- Gagueira

- Problemas de articulação,

Pode usar Otsimo | Fonoaudiologia Articulação de pronúncia para praticar a fala e melhorar sua fala.

Os jogos de fala projetados especificamente para indivíduos são criados sob a orientação de pais, fonoaudiólogos (SLPs) e especialistas em atividades terapêuticas. Os jogos assistivos em Otsimo | A articulação da pronúncia fonoaudiológica visa melhorar as habilidades de fala e comunicação.

Todas as razões para experimentar o Otsimo | Fonoaudiologia:

- Usamos tecnologia de reconhecimento de voz e fala para avaliar o que está sendo dito para obter resultados precisos, aprimorando a experiência de terapia da fala.

- Com tecnologia receptiva de aprendizado de máquina, o aplicativo detecta se a articulação e a pronúncia estão sendo aprimoradas ou não.

- Cada exercício de fala é seguido por filtros engraçados, com chapéus e máscaras como recompensas, para tornar o aprendizado mais divertido.

- Cada exercício de fala também tem mais de 200 adesivos para serem coletados, incentivando o indivíduo a se envolver mais com a terapia da fala.

Os exercícios envolvem repetição, um método popular de terapia da fala aba, que ajuda no desenvolvimento da pessoa com problemas de fala. Como parte da terapia profissional certificada, usamos modelagem de vídeo que permite aprender com colegas por meio da imitação.

Nossos aplicativos são atualizados semanalmente com conteúdo emocionante e atividades de fala, para que você nunca se canse de aprender novas palavras.

Para fins de aprendizagem e desenvolvimento, Otsimo | A Articulação da Pronúncia da Fonoaudiologia ensinará como articular o som correto das vogais e consoantes e muito mais, para que eles possam aprender a se comunicar oralmente de uma maneira melhor.

Otsimo | O Speech Therapy Pronunciation Articulation é um SLP de bolso que você pode usar como fonoaudiólogo em casa. Premiado como o melhor aplicativo de atividades terapêuticas, ele visa reduzir qualquer tipo de problema de linguagem e fala, de uma forma divertida!

O Otsimo | O aplicativo Fonoaudiologia consiste em mais de 15 categorias, incluindo Primeiras Palavras, Formas Básicas, Partes do Corpo, Safari Club, Acrobacias com a Língua, Rainbow Splash! Cada categoria é projetada para estimular a produção de som da criança.

Otsimo | A jornada fonoaudiológica começa com um teste gratuito de 7 dias ou uma assinatura mensal. Oferecemos assinaturas mensais, anuais e vitalícias. A assinatura mensal custa US$ 6,99/mês, a assinatura anual custa US$ 4,49/mês e a vitalícia custa US$ 119,99. As cobranças reais podem ser convertidas em moeda local, dependendo do seu país de residência. Na confirmação da compra, o pagamento será cobrado em sua conta do Google Play.

As assinaturas são renovadas automaticamente, a menos que a renovação automática seja desativada pelo menos 24 horas antes do final do período de assinatura atual. Nossa conta será cobrada pela renovação dentro de 24 horas antes do final do período atual, e o custo da renovação será identificado. As assinaturas podem ser gerenciadas pelo usuário. A renovação automática pode ser desativada nas Configurações da conta do usuário após a compra. Qualquer parte não utilizada de um período de teste gratuito, se oferecido, será perdida quando o usuário adquirir uma assinatura dessa publicação.

Isenção de responsabilidade: Otsimo | A articulação da pronúncia fonoaudiológica é desenvolvida de forma que pode ser usada com um tutor. Qualquer pessoa pode se beneficiar do serviço sem qualquer restrição de idade.

Para mais informações:

Política de Privacidade e Termos de Uso - https://otsimo.com/legal/privacy-en.html

Política de pagamento - https://otsimo.com/legal/payment.html",0
Play Store,https://play.google.com/store/apps/details?id=com.sensorytreat.sensoryapp&c=apps&hl=pt_BR,Sensory Treat,29 de nov. de 2021,Gratuito,,autism' 'intervention',Livre,"SensoryTreat foi projetado por pais de crianças com Transtorno de Processamento Sensorial e em conjunto com o conselho profissional de mais de 60 terapeutas ocupacionais em todo o mundo, incluindo Dr. Winnie Dunn, OTR, FAOTA [saiba mais].

Cuidado baseado em evidências: o impacto do aplicativo SensoryTreat na adesão aos programas caseiros sensoriais foi validado em um estudo de pesquisa publicado na Telemedicina e e-Saúde [saiba mais]. SensoryTreat é destaque em: OT Practice [saiba mais] e Autism Parenting [saiba mais].

CARACTERÍSTICAS PRINCIPAIS

Mais de 150 ilustrações de atividades fáceis de seguir

Codificado por cores pelo sistema sensorial: trabalho pesado, pressão profunda, vestibular e muito mais.

Notificações e lembretes de atividades ajudam os pais a gerenciar o programa doméstico de seus filhos.

Professores, TAs e profissionais de educação especial podem usar o aplicativo para gerenciar o plano de intervenção da criança durante a creche, pré-escola e horário escolar.

Agendamento flexível para dias de semana, fins de semana e hora do dia.

GRATUITAMENTE!",0
Play Store,https://play.google.com/store/apps/details?id=air.Kloog2aphone&c=apps&hl=pt_BR,SocialSkills for Autism Kloog2,9 de dez. de 2016,Gratuito,,autism' 'intervention',Livre,"Kloog 2 - Return to Zugopolis, é o segundo aplicativo nas habilidades sociais para a série Autismo e continua a viagem de nosso caráter alienígena Kloog, através do mundo social que ele acha difícil e desafiador.

 

Este aplicativo contém lições que ensinam vida e segurança habilidades adequados para todas as crianças, mas que tenham sido definidos de forma amigável autismo. Oferece soluções para as dificuldades cotidianas vividas por todas as crianças.

 

Este app olha para amizade e explora áreas, tais como: O que é um amigo; Desenvolver amizades; e como reconhecer e responder ao bullying. Este aplicativo apresenta ao usuário uma série de maravilhosas e interessantes novos personagens, os planetas onde vivem e a história de como eles devem aprender a fazer amizades e trabalhar juntos.

 

As habilidades sociais para o autismo app é a Propriedade Intelectual do Centro Brilho para o autismo na Irlanda e baseia-se nos ""PALS"" muito bem-sucedidas (Pessoal e Vida Programa Skills) que tem funcionado no Centro desde 2010.",0
Play Store,https://play.google.com/store/apps/details?id=com.mightybell.theautismhelper&c=apps&hl=pt_BR,The Autism Helper,8 de mai. de 2023,Gratuito,,autism' 'intervention',12,"O Autism Helper fornece recursos e comunidade para aqueles que procuram ajudar a criar a melhor vida possível para indivíduos com autismo.

Quando você se junta à comunidade Autism Helper, você obtém acesso a:

+ Treinamento em práticas baseadas em evidências de uma forma que seja fácil de acessar e implementar

+ Cursos aprofundados sobre mudança de comportamento e alfabetização

+ Ferramentas e materiais para download para trabalhar as habilidades acadêmicas, funcionais e de comunicação

+ Uma comunidade exclusiva de profissionais afins, prontos para colaborar

+ Live Q and As para obter respostas às suas perguntas

+ Webinars exclusivos para membros com especialistas na área",0
Play Store,https://play.google.com/store/apps/details?id=com.metanoa&c=apps&hl=pt_BR,"Therapy for Autism, Speech & L",15 de jun. de 2021,Gratuito,,autism' 'intervention',Livre,"Metanoa é um aplicativo exclusivo que fornece terapia baseada em evidências sob demanda para crianças com distúrbios do neurodesenvolvimento. Ele pode ser usado para identificação precoce de

Transtorno do espectro do autismo (ASD), Transtorno de déficit de atenção e hiperatividade (TDAH), Dificuldades de aprendizagem, Transtornos da linguagem e da comunicação, Transtornos motores, etc. ou como parte da intervenção clínica com profissionais de saúde. Metanoa se dedica a minimizar os principais sintomas e dependência de crianças com distúrbios do neurodesenvolvimento. A plataforma vem com um plano de terapia holístico e feito sob medida para as crianças, com recursos de construção de habilidades associados. O aplicativo é projetado para uso doméstico e uso clínico.

Como funciona?

Para os pais:

1. Autoavaliações e testes de triagem - Metanoa permite avaliações remotas e é a maneira mais rápida de determinar se seu filho está apresentando sintomas de NDD.

2. Programa Home - Com base nas avaliações, o app irá gerar de forma dinâmica um conjunto de metas e estratégias clinicamente comprovadas sugeridas pelos profissionais para melhorar o quadro. Os cuidadores podem registrar as atividades diárias e as metas que estão sendo realizadas por seu filho.

3. Programa ADL - Tarefas diárias, rotinas e atividades podem ser organizadas e a criança pode realizar a atividade facilmente seguindo a representação visual da sequência da atividade.

4. Rastreie e registre o desempenho - Metanoa fornece registros digitais que ajudam a monitorar e rastrear o progresso de seu filho no dia a dia.

5. Abordagem interdisciplinar - Oferece acesso a consultas online com vários profissionais de saúde e adquire as melhores opções de tratamento. Você pode discutir as preocupações com a saúde de seu filho com especialistas de forma segura por meio de bate-papo, chamada de áudio ou vídeo e obter feedback instantaneamente.

6. Continuidade de cuidados - O plano de tratamento personalizado e os cuidados de longo prazo oferecidos por Metanoa permitirão que as crianças desenvolvam suas habilidades funcionais.

7. Recursos - O aplicativo oferece uma riqueza de informações relacionadas à saúde mental e distúrbios do neurodesenvolvimento.

Para clínicas:

O aplicativo pode fazer parte de uma clínica já associada ao Metanoa. Nesse caso, você pode acessar o aplicativo usando o id (número de telefone ou e-mail) fornecido na clínica no momento do registro e usar o aplicativo. Enquanto o aplicativo está associado a uma clínica, os especialistas podem usar o recurso de tele-reabilitação para terapias remotas, sugerir novas terapias e objetivos usando o próprio aplicativo. Isso permite que os usuários do serviço se conectem diretamente com os profissionais e, assim, aumenta as chances de melhor diagnóstico e atendimento. Cada terapia e meta designada pelo médico ou terapeuta chega diretamente aos pais e os pais podem atualizar a terapia e os resultados da meta. Os profissionais de saúde podem acessar esses relatórios de sua clínica e sugerir novas terapias e metas de acordo.

NOTA IMPORTANTE:

O aplicativo deve ser administrado por um pai, responsável ou responsável se o distúrbio do neurodesenvolvimento for afetado em uma criança. É sempre aconselhável estar acompanhado por um dos pais, responsável ou responsável durante o acesso à tele-reabilitação.",0
Play Store,https://play.google.com/store/apps/details?id=com.viaapp&c=apps&hl=pt_BR,Autism 360,5 de mai. de 2023,Gratuito,,autism' 'stimuli',Livre,"Somos a Plataforma de Neurodiversidade que mais cresce. Aqui está nossa jornada nos últimos 3 anos:

- Mais de 40 equipes de clínicos interdisciplinares e em crescimento

- 9700 membros da comunidade

- 3+ parcerias com grandes universidades em programas de pesquisa

O Via App é central para nossa comunidade e oferece esses ótimos recursos:

- Programa personalizado com metas específicas para as necessidades do seu filho.

- Participe de suas sessões de coaching diretamente no aplicativo.

- Oficinas ao vivo.

- Aceda a todas as ferramentas, formação e recursos necessários para implementar estratégias em casa; de forma segura e não invasiva.",0
Play Store,https://play.google.com/store/apps/details?id=com.aba.aba&c=apps&hl=pt_BR,Autism ABA (Applied Behavior A,15 de abr. de 2020,Gratuito,,autism' 'stimuli',Livre,"Este aplicativo ensina as crianças a identificar mais de 1800 imagens e palavras do dia a dia usando animações emocionantes para recompensar o progresso da criança. Tudo o que os pais precisam fazer é reservar um minuto para selecionar as categorias (por exemplo, Ações, Comida, Animais, Cores, Contagem, Alfabeto, etc. Emoções etc.) e, em seguida, selecionar as configurações, por exemplo: com que frequência você deseja que a criança seja recompensada com as animações ou que os rótulos sejam exibidos abaixo de cada imagem. Você pode desativar as recompensas, se quiser. Em seguida, basta dar o aplicativo para seu filho brincar. Seu filho pode precisar de um pouco de incentivo no início, mas logo se divertirá muito enquanto adquire habilidades valiosas no idioma. Todo o aplicativo foi projetado para ser fácil de usar para pais e filhos.

O aplicativo inclui:

1) Uma seção de correspondência é o primeiro passo para ensinar uma criança a identificar imagens. Você tem a opção de um nível básico (correspondência idêntica), por exemplo combinar CAR com uma imagem de CARRO idêntica ou mudar em qualquer estágio para o nível mais avançado, onde uma criança teria que, por exemplo, combine uma TAÇA AMARELA com uma TAÇA BRANCA. Alguns pais tentam começar com a linguagem receptiva (explicada abaixo) antes de fazer a fase de correspondência. Fazer a correspondência primeiro tornará o próximo passo muito mais fácil.

2) A etapa Linguagem Receptiva vem a seguir. Isso significa simplesmente que a criança é ensinada a entender o significado das palavras vocalizadas usando imagens. O aplicativo usa os princípios ABA DTT (Treinamento de Testes Discretos) para incentivar a criança a progredir através das diferentes imagens e rótulos. Primeiro, a criança tem apenas uma escolha a fazer - identificar uma única imagem tocando na imagem, depois duas e assim por diante até que ela domine a imagem, acertando quantas vezes você selecionou, por exemplo, 6,7 ou 8 vezes, etc., dependendo de sua habilidade. O aplicativo passa automaticamente para a próxima imagem. Você pode decidir a frequência das recompensas. O aplicativo é definido como 1, ou seja, a criança é recompensada após cada seleção correta (ou tentativa), mas você pode definir isso para um número maior. Os prompts e rótulos podem ser ativados ou desativados.

3) Uma seção de fonética que se move facilmente pelos sons do alfabeto com um toque na tela. Isso ajudará na próxima etapa.

4) A seção de leitura NÃO é uma leitura à primeira vista comum (em que uma criança é ensinada a reconhecer e dizer palavras sem saber o significado delas). Neste aplicativo, a criança é ensinada a associar palavras às imagens que aprendeu nas seções anteriores para que ela entenda seu significado.

Quando você sai do aplicativo, as configurações e o progresso da criança são salvos para a próxima sessão.",0
Play Store,https://play.google.com/store/apps/details?id=com.autismdate.com.app&c=apps&hl=pt_BR,Autism Date - Dating App,22 de jun. de 2022,Gratuito,5 mil+,autism' 'stimuli',14,"Autismo Data é a plataforma de encontros para todas as pessoas com autismo.

Você pode namorar aqui para encontrar um amor, mas você também pode procurar uma boa amizade ou um amigo chat.

Nossa plataforma de namoro está incluindo várias características inteligentes e de um ambiente virtual.","3,0"
